stkcd,stock,name,year,is_crawled
832894,紫光通信,杭州紫光通信技术股份有限公司,2014,1
832219,建装业,深圳市建装业集团股份有限公司,2015,1
831974,维森信息,辽宁维森信息技术股份有限公司,2015,1
832419,路斯股份,山东路斯宠物食品股份有限公司,2015,1
430493,新成新材,大同新成新材料股份有限公司,2014,1
836653,实力文化,北京实力电传文化发展股份有限公司,2015,1
430428,陕西瑞科,陕西瑞科新材料股份有限公司,2015,1
833063,高华股份,蚌埠高华电子股份有限公司,2014,1
832236,丰源股份,山东丰源生物质发电股份公司,2016,1
838212,中吉号,深圳市中吉号茶业股份有限公司,2015,1
835573,茉印股份,浙江茉织华印刷股份有限公司,2015,1
831677,天意有福,天意有福科技股份有限公司,2015,1
837600,万高科技,北京万高众业科技股份有限公司,2015,1
835086,房米网,厦门房米网络股份有限公司,2014,1
833278,北旺农牧,辽宁北旺农牧股份公司,2016,1
430725,九五智驾,北京九五智驾信息技术股份有限公司,2014,1
430284,科胜石油,北京科胜伟达石油科技股份有限公司,2014,1
430171,电信易通,北京电信易通信息技术股份有限公司,2015,1
833083,爱林至善,爱林至善,2015,1
836116,潜能燃气,河北潜能燃气股份有限公司,2015,1
835295,联通人力,山东联通人力资源服务股份有限公司,2015,1
836460,风云科技,厦门风云科技股份有限公司,2015,1
430298,淘礼网,北京淘礼网科技股份有限公司,2015,1
833625,捷报文化,四川捷报文化传播股份有限公司,2014,1
430619,格纳斯,四川格纳斯光电科技股份有限公司,2014,1
430238,普华科技,上海普华科技发展股份有限公司,2015,1
430458,陆海科技,大连陆海科技股份有限公司,2015,1
832464,科大科技,山东科大机电科技股份有限公司,2016,1
833322,广通软件,广通软件,2015,1
832072,紫晶股份,北京紫晶之光科技股份有限公司,2015,1
430336,皇冠幕墙,天津皇冠幕墙装饰股份有限公司,2013,1
430197,津伦股份,津伦(天津)精密机械股份有限公司,2016,1
830902,长仪股份,四川长仪油气集输设备股份有限公司,2015,1
836798,捷帝股份,捷帝股份,2015,1
834961,东和设备,河南东和环保科技股份有限公司,2015,1
831481,瑞铃企管,浙江瑞铃企业管理股份有限公司,2015,1
831722,阿迪克,武汉阿迪克电子股份有限公司,2016,1
430369,威门药业,贵州威门药业股份有限公司,2014,1
835225,世纪空间,世纪空间,2015,1
832709,达特照明,深圳市达特照明股份有限公司,2015,1
834476,自在传媒,北京无限自在文化传媒股份有限公司,2015,1
430078,君德同创,北京君德同创农牧科技股份有限公司,2015,1
836987,联泰科技,上海联泰科技股份有限公司,2015,1
836219,鼎晶生物,上海鼎晶生物医药科技股份有限公司,2015,1
831678,利德浆料,湖南利德电子浆料股份有限公司,2015,1
430290,和隆优化,北京和隆优化科技股份有限公司,2014,1
834507,元年科技,北京元年科技股份有限公司,2015,1
831108,茶乾坤,浙江茶乾坤食品股份有限公司,2014,1
831885,鱼鳞图,四川鱼鳞图信息技术股份有限公司,2015,1
830851,骏华农牧,宁夏骏华月牙湖农牧科技股份有限公司,2015,1
831979,林格贝,大兴安岭林格贝寒带生物科技股份有限公司,2014,1
833783,源培生物,上海源培生物科技股份有限公司,2015,1
